oid;category
1869;7-Slovensko-void
1010;3-Slovensko-Pieš?any
1010;3-Slovensko-void
1923;3-Slovensko-Pieš?any
1923;3-Slovensko-void
2735;1-?eská republika-?eskomoravská vrchovina
2735;1-?eská republika-void
29;7-Slovensko-Vysoké Tatry
29;7-Slovensko-void
32;7-Slovensko-Vysoké Tatry
32;7-Slovensko-void
254;1-?eská republika-Jižní Morava
254;1-?eská republika-void
672;1-?eská republika-Jižní Morava
672;1-?eská republika-void
672;1-?eská republika, víkendové pobyty-Jižní Morava
672;1-?eská republika, víkendové pobyty-void
473;1-?eská republika-Západní ?echy
473;1-?eská republika-void
844;7-?eská republika-Krkonoše
844;7-?eská republika-void
845;7-?eská republika-Krkonoše
845;7-?eská republika-void
845;7-?eská republika, víkendové pobyty-Krkonoše
845;7-?eská republika, víkendové pobyty-void
200;1-?eská republika-Jižní ?echy
200;1-?eská republika-Šumava
200;1-?eská republika-void
3392;7-?eská republika-Šumava
3392;7-?eská republika-void
247;1-?eská republika-Jižní Morava
247;1-?eská republika-void
2734;1-?eská republika-Ž?árské Vrchy
2734;1-?eská republika-void
2726;7-?eská republika-Jeseníky
2726;7-?eská republika-void
2727;7-?eská republika-Jeseníky
2727;7-?eská republika-void
1479;7-?eská republika-Jeseníky
1479;7-?eská republika-void
3393;7-?eská republika-Jeseníky
3393;7-?eská republika-void
2332;1-?eská republika-Beskydy
2332;1-?eská republika-void
2333;1-?eská republika-Beskydy
2333;1-?eská republika-void
2334;1-?eská republika-Beskydy
2334;1-?eská republika-void
257;1-?eská republika-Jižní Morava
257;1-?eská republika-void
2728;1-?eská republika-Jižní Morava
2728;1-?eská republika-void
196;7-?eská republika-Jižní ?echy
196;7-?eská republika-Šumava
196;7-?eská republika-void
1463;7-?eská republika-Šumava
1463;7-?eská republika-void
1546;1-?eská republika-?eský Ráj
1546;1-?eská republika-void
3187;7-?eská republika-Krkonoše
3187;7-?eská republika-void
263;1-Slovensko-Zemplínská Šírava
263;1-Slovensko-void
705;1-Slovensko-Jižní Slovensko
705;1-Slovensko-void
2048;1-Slovensko-Jižní Slovensko
2048;1-Slovensko-void
2799;1-Slovensko-Jižní Slovensko
2799;1-Slovensko-void
